uuid	legacy_id	part	short_name	name	entry_date	types_uuids	types_labels
e5a66c65-750a-511e-988a-ad7918498588	21	S	21	21	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
17ce851d-b0e1-51ca-b518-e0b0a82bdd83	22	S	22	22	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
814b0884-63ce-57d2-9d87-987ac8d62d22	23	S	23	23	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
88e2a088-1434-5e90-8f8b-5cf89a051978	24	S	24	24	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
db92d8a8-d51d-5e68-b58c-12201173d378	25	S	25	25	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
8755daf5-a56e-54f7-9c05-5fe1d347fb5e	26	S	26	26	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
1a8308eb-824e-5ebd-9b52-53bcd405451f	27	S	27	27	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
dddea152-e351-50f5-92d9-b57a3f833ebe	28	S	28	28	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
1865e0d9-42d4-5857-b770-85a88b6ca5f7	29	S	29	29	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
842b353a-6eb4-54cb-8be7-3b394781ec01	30	S	30	30	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
a7f544af-4fa7-596d-9c35-6d1a69086c63	31	S	31	31	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
3b15d8f9-c721-586e-9566-f71d79283fd5	50	T	D	Sunday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
abf5648f-5331-5787-8f28-2251adbc786e	51	T	ff	Weekdays or days within an octave	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
decc9e78-dcfa-5fda-8058-16a1340b9fc4	52	T	f2	Monday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
814e3889-0649-545d-85a4-98469ff2ade0	53	T	f3	Tuesday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
6923c032-9dbd-5794-a094-aeb8ec1c26e9	54	T	f4	Wednesday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
586b7803-1ae2-5e7d-bccc-842a5317a67e	55	T	f5	Thursday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
c4bd447b-9fbc-5bac-86b6-47dd582dce08	56	T	f6	Friday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
aa9768a2-75f4-5295-9e3e-e8026eab3a48	57	T	S	Saturday	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
97d77c41-9a67-5c78-a47b-427e0dbe8326	60	T	Gen	General, i.e. seasonal item without any assignation to day	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
056b764a-8e15-5874-8ba4-92025086cbed	70	T	F	Feast	2026-04-27T09:20:58.414435+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
