uuid	legacy_id	name	parent_function_uuid	entry_date	parent_function_label
1a46164a-3cd6-4434-bd85-fad33a0d119f	224	Troped Sanctus	c8ab1389-fce4-4b6f-8314-499f5faf8eda	2026-08-14T13:29:44.656277+00:00	Tropus
0dbe6788-2cb6-41ca-8954-0527e8be7dc5	223	Troped Kyrie	c8ab1389-fce4-4b6f-8314-499f5faf8eda	2026-08-14T13:29:24.207925+00:00	Tropus
5cd2d1be-2c3c-4fc5-aff7-6ceed7520993	211	Antiphon verse		2026-08-14T13:28:40.341094+00:00	
5c09b59e-1884-4958-8112-6409b7676284	210	Antiphon		2026-08-14T13:28:40.343411+00:00	
d032e00f-6672-41a1-9ab3-af12bb48eb79	209	Benedicamus domino		2026-08-14T13:28:40.345701+00:00	
752f4ccc-66a3-4718-8a9c-1bbf91f50956	208	Varia within Holy Week		2026-08-14T13:28:40.347956+00:00	
a977f7db-a791-4886-9c99-cd30aca613a0	207	Varia		2026-08-14T13:28:40.350162+00:00	
9c1145e5-ce8b-4dd0-a985-62c6e45cad67	206	Hymn verse		2026-08-14T13:28:40.352415+00:00	
8f9bf333-59d1-41cf-8747-db07d9597a64	205	Hymn		2026-08-14T13:28:40.354695+00:00	
4ba5673c-3db9-4a9e-834f-7b8f50706153	204	Litany		2026-08-14T13:28:40.357018+00:00	
af34b79f-eb9e-48b3-880c-5cfd284256af	202	Sequence		2026-08-14T13:28:40.361583+00:00	
fbe29817-8309-4dbe-9f85-96dd7b3fe3f3	201	Ite missa est		2026-08-14T13:28:40.363847+00:00	
06be95cb-ef33-43a8-a4ea-7f3c0adc3bd8	198	Credo		2026-08-14T13:28:40.370521+00:00	
a7eab346-108e-40f0-b316-dbb487c38561	197	Gloria		2026-08-14T13:28:40.372763+00:00	
147cb06e-9f97-4de2-b4c3-fc2196d91ea6	196	Kyrie		2026-08-14T13:28:40.374895+00:00	
7b75c85c-b2bf-49b3-bc26-fa394e6a0917	195	Communion verse		2026-08-14T13:28:40.377132+00:00	
f393d315-077f-4ad3-9864-f8b2d8a9cd99	194	Communion		2026-08-14T13:28:40.379366+00:00	
b6453aec-bbd3-45e2-955e-2d0416a4781d	193	Offertory verse		2026-08-14T13:28:40.381583+00:00	
ac8bd3be-d83b-40a5-9bfb-48a84dda70ec	192	Offertory		2026-08-14T13:28:40.383832+00:00	
32927319-0ee9-4c31-8f0b-d1a9cc51d9b9	190	Tract verse		2026-08-14T13:28:40.388248+00:00	
d93eda66-c29c-4d0b-9092-9e65aea11aa6	189	Tract		2026-08-14T13:28:40.390518+00:00	
503fd288-59f3-498c-8369-5fd2c1ba736f	188	Gradual verse		2026-08-14T13:28:40.392817+00:00	
5fd515a2-ec12-42d5-b3e7-f9609b14bf00	187	Gradual		2026-08-14T13:28:40.394964+00:00	
2f704ef1-4c49-4f6c-ab9d-41b69e98bd36	186	Introit verse		2026-08-14T13:28:40.397261+00:00	
27157379-6153-42db-bf1e-fc4dd93f181b	185	Introit		2026-08-14T13:28:40.399488+00:00	
