uuid	legacy_id	title	entry_date
26bca9f2-8994-51d6-9293-7bd74492a860	1	Sacramentary	2026-04-27T09:21:01.172110+00:00
c4e84f91-2cdc-5875-8d00-d223b457ad09	2	Missal	2026-04-27T09:21:01.172110+00:00
127fe605-1330-5740-83e2-d0ce5bb763e0	3	Pontifical	2026-04-27T09:21:01.172110+00:00
153b625a-3a18-5b4c-b143-93f344d198e0	4	Collectar	2026-04-27T09:21:01.172110+00:00
a40ec15b-0645-54a4-8568-5aaea4c027c9	5	Calendar	2026-04-27T09:21:01.172110+00:00
c53cee1e-0420-5b43-8a1e-ddf612acd2e8	6	Ritual	2026-04-27T09:21:01.172110+00:00
c70a7dfd-0a7f-5a2b-8b44-c8170a269ed1	7	Benedictional	2026-04-27T09:21:01.172110+00:00
d3c281a6-dfd9-5923-9817-fdc6f38ab3ec	8	Graduale	2026-04-27T09:21:01.172110+00:00
dcc1cd48-f967-5964-9059-db5688eb7198	9	Evangelistarium	2026-04-27T09:21:01.172110+00:00
