uuid	legacy_id	short_name	name	entry_date	types_uuids	layers_uuids	types_labels	layers_labels
9a3abc25-2043-575d-82d2-5860dbb9bcb2		Super oblatam	Super oblatam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
b711c6a4-0a76-584a-b575-121c86aeced3		Praefatio	Praefatio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
96d342c9-a65b-5a9d-b0ce-cfc27ebcae00		Post communionem	Post communionem	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
3ae9f8e2-cfc9-515d-a495-34600751cb3b		Oratio post officium	Oratio post officium	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
b960de9a-3176-5f00-af69-b3947baf70b5		Missa	Missa	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
a39a5ec2-4dc5-5148-9915-954173c8e31a		Alia oratio	Alia oratio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
05b7d20b-8cd2-5ace-bf07-1a12ffab1da8		Post nomina	Post nomina	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
2df293f3-6e66-54fd-a5fd-d891561444d6		Ad pacem	Ad pacem	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
f7861acc-437a-5076-9c7a-94004e85d249		Illatio	Illatio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
5ec4a0a1-0b11-55d9-a983-1c64677b4331		Post Sanctus	Post Sanctus	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
