uuid	legacy_id	short_name	name	entry_date
2eb31b98-98f0-5799-b58b-1c82e72356c0		S/C	Sacramentary/Collectary	2026-04-27T09:21:00.924444+00:00
c5f3f419-67d7-5c5d-85a2-602ed238ffaa		G/A	Gradual/Antiphonal	2026-04-27T09:21:00.924444+00:00
8a4077b5-9979-5af3-a14f-24d3ed4f45ea		L	Lectionary	2026-04-27T09:21:00.924444+00:00
c909ccd5-d4aa-54ef-8ecf-67df08b21ab3		R	Rubric	2026-04-27T09:21:00.924444+00:00
